Model,MSE,RMSE,MAE,R2 Score
Linear Regression,1.1523840340839914e-32,1.0734915156087595e-16,8.155143227384088e-17,1.0
Random Forest,0.0006737141275000004,0.025956003688934866,0.02049824000000001,0.7294957103200914
